text,label
who are you?,0
how are you?,1
what time is it?,2
hello,3
bye,4
how's it going?,1
tell me about yourself,0
what's the time?,2
hi,3
bye,4
who am I?,0
how do you feel?,1
what's your identity?,0
what's up?,1
see you later,4
how do you do?,1
do you know the time?,2
hey there,3
farewell,4
can you introduce yourself?,0
how's your day?,1
what is your name?,0
what's the latest?,2
greetings,3
until next time,4
describe yourself,0
how have you been?,1
what's the current time?,2
yo,3
take care,4
define yourself,0
how's life?,1
what's your story?,0
hello there,3
so long,4
are you feeling well?,1
who are you really?,0
what's happening?,1
goodbye for now,4
how's everything?,1
talk about yourself,0
what's going on?,1
see you soon,4
how are you doing today?,1
who am I talking to?,0
tell me your name,0
hi there,3
bye for now,4
how's your day going?,1
can you tell me about yourself?,0
what's new?,1
goodbye take care,4
how do you do,1
what's your purpose?,0
hey,3
what's the time there?,2
how's your health?,1
what's your name?,0
catch you later,4
how are things?,1
do you know what time it is?,2
hello, how are you?,1
tell me who you are,0
long time no see,3
what do you go by?,0
how's your well-being?,1
what's the time right now?,2
what's cracking?,3
bye-bye,4
who's this?,0
how are you feeling?,1
introduce yourself,0
what's up with you?,1
hello, how's it going?,1
goodbye, see you later,4
tell me about you,0
how are you today?,1
hello there,3
bye now,4
